marca,modelo,año,estado,kilometraje,motor,placa,cv,peso_kg,transmisión,precio_cop
Honda,Civic,2019,disponible,40000,1.3,TRX040,128,1280,manual,50000000
Chevrolet,Tracker,dos mil dieciseis,disponible,70000,1.0,JIG041,170,1070,automatica,71000000
Ford,Explorer,2020,disponible,48.000,2.0,WIR 394,170,1300,manual,66000000
Kia,Sorento,2021,vendido,40000,1.3,652QCL,185,2000,manual,74000000
FORD,Escape,2016,taller,52000,1.60,NFJ199,69,2000,Manual,87000000
Volkswagen,Tiguan,2017,Disponbile,78000,1.3,298BGR,163,1600,automatica,40000000
Volkswagen,Golf,2022,vendido,35000,1.0,CLL476,400,1100,manual,$ 76.000.000
Honda,Civic,2015,disponible,42000,1.3,KMW910,170,1300,automatica,61000000
HYUNDAI,Accent,2015,taller,90000,1.8,XNB580,99,2100,manual,76000000
Chevrolet,Tracker,2021,disponible,52000,1.6,ITB499,99,1800,manual,89000000
Toyota,Land Cruiser,2019,taller,20000 km,1.3,UQGTOL,ciento cincuenta y cinco,1250,automatica,89000000
Toyota,Hilux,2020,taller,28000,1.6,DIX788,128,2100,manual,38000000
Kia,Picanto,2017,taller,58000,1.6,KH-073,84,1700,manual,50000000
toyata,Corolla,2019,Vendido,45.000,1.0,CLS365,170,1900,manual,57000000
Hyundai,Creta,2019,taller,25000,1.3,KYR963,231,950,automatica,61000000
Honda,HR-V,2020,disponible,42000,2.0,IUD096,99,1600,automatica,49000000
Volkswagen,Polo,2018,disponible,85000,1.3,URZ598,355,1795,automatica,82000000
Honda,Pilot,2019,disponible,48000,1.5,IOD267,99,1570,automatica,67000000
Toyota,RAV4,2019,vendido,75000,1.8,TOP224,75,1500,MANUAL,76000000
Volkswagen,Golf,2015,Disponible,70k,1.5,FIT378,141,1.070,automatica,27000000
Honda,Accord,2018,vendido,45000,1.5,EPT189,107,1900,manual,64000000
Honda,Odyssey,2015,vendido,78000,2.0,JNI881,163,2060,automatica,44000000
Chevrolet,Spark,2019,vendido,42 000,1.6,ORI434,158,1300,automatica,60000000
Volkswagen,Passat,2015,disponible,50000,1.3,KGR353,231,1400,automatica,83000000
Nissan,March,2018,vendido,40000,1.5,104561,114,2060,Automatica,38000000
Kia,Sorento,2018,taller,70k,1.6,XHP450,107,1.250,manual,58000000
Volkswagen,Polo,2018,vendido,35000,1.6,CFD210,152,2.000,automatica,81000000
Nissan,March,2016,disponible,8000,2.0,VOT154,145,1200,automatica,87000000
Toyota,Camry,2016,vendido,45000,"1,5",DUW808,191,1570,manual,49000000
Chevrolet,Silverado,2017,vendido,5000,1.8,KFV196,120,1700,automatica,90000000
Honda,HR-V,2021,vendido,100000,1.5,VHH594,120,1600,automatica,69000000
Hyundaii,Palisade,2022,DISPONIBLE,70000,1.6,ZUQ191,290,1400,manual,81000000
Hyundai,Palisade,O021,vendido,95000,1.8,ABQ997,185,1100,manual,81000000
Honda,Accord,2021,taller,42000,1.6,XDL220,191,1350,manual,34000000
